ctr,tokens,tokens_price,name
56,632,8.216e-05,C:\Root\nimue\data\email\ingest-processed\1b532b8f83e5b0235b490abfe41f0f96.txt
57,584,7.592e-05,C:\Root\nimue\data\email\ingest-processed\1b6ced0eb40f8b56187154dff45ad3aa.txt
58,847,0.00011011,C:\Root\nimue\data\email\ingest-processed\1b8898de196af96a833ace99a7416628.txt
59,142,1.846e-05,C:\Root\nimue\data\email\ingest-processed\1c393eefb4300bd83bd50b4b27622957.txt
60,918,0.00011934,C:\Root\nimue\data\email\ingest-processed\1c6b947562204a1cbccec0cddafbed7a.txt
61,658,8.554000000000001e-05,C:\Root\nimue\data\email\ingest-processed\1cb9cfce6eb96e0cc441d9a2672a7e0d.txt
62,135,1.755e-05,C:\Root\nimue\data\email\ingest-processed\1d76e692938ad03dc93357400f31bd8e.txt
63,1453,0.00018889000000000002,C:\Root\nimue\data\email\ingest-processed\1d996743cd77a499d888d5ee50813bf9.txt
64,235,3.0550000000000004e-05,C:\Root\nimue\data\email\ingest-processed\1e995bf9b1b10ba78cf3ad89e43f2350.txt
65,431,5.6030000000000004e-05,C:\Root\nimue\data\email\ingest-processed\1eb114c424e6a96ef6c05ee3e66aeadd.txt
66,918,0.00011934,C:\Root\nimue\data\email\ingest-processed\1ed0965284e565b334dfc663503d7254.txt
67,115,1.4950000000000001e-05,C:\Root\nimue\data\email\ingest-processed\2068311c204925d5cefa29f81d731968.txt
68,1026,0.00013338,C:\Root\nimue\data\email\ingest-processed\21127bb5deb3d449c12b5d0e010bf5b7.txt
69,264,3.4320000000000003e-05,C:\Root\nimue\data\email\ingest-processed\2309807de2c8171e81235d1633242af7.txt
70,112,1.4560000000000001e-05,C:\Root\nimue\data\email\ingest-processed\2375892536ea71f60177701c787a78fc.txt
71,466,6.0580000000000006e-05,C:\Root\nimue\data\email\ingest-processed\237cf6d242494663eb7ad88838c96e4a.txt
72,355,4.615e-05,C:\Root\nimue\data\email\ingest-processed\23df4ecef054b1c5af7c5932c9803452.txt
73,271,3.5230000000000007e-05,C:\Root\nimue\data\email\ingest-processed\241e1490cbe728f301350f33a884b932.txt
74,135,1.755e-05,C:\Root\nimue\data\email\ingest-processed\24c4bf1f338dab9d943e360509ff41c1.txt
75,1359,0.00017667000000000003,C:\Root\nimue\data\email\ingest-processed\25804e5ab61116c1eea9ca7029cc3684.txt
76,906,0.00011778,C:\Root\nimue\data\email\ingest-processed\26a6896ec2f0862188c293dae6763ffd.txt
77,802,0.00010426000000000001,C:\Root\nimue\data\email\ingest-processed\26be2372acb12be6e4ef9d9562061e39.txt
78,739,9.607000000000001e-05,C:\Root\nimue\data\email\ingest-processed\27faceccd0a0c916f717c6453fe00c00.txt
79,123,1.599e-05,C:\Root\nimue\data\email\ingest-processed\28453cded8fc1d449aef18701feba3d0.txt
80,214,2.782e-05,C:\Root\nimue\data\email\ingest-processed\285032d8e2520673fc81dbe3e7fab259.txt
81,210,2.73e-05,C:\Root\nimue\data\email\ingest-processed\28c8dbd103302dbc6db3fcd334c5b7b9.txt
82,239,3.107e-05,C:\Root\nimue\data\email\ingest-processed\2924d791c1c353b9eab620921d8a0537.txt
83,396,5.148e-05,C:\Root\nimue\data\email\ingest-processed\2958f62d5a11787edd9a492f8fe85814.txt
84,507,6.591e-05,C:\Root\nimue\data\email\ingest-processed\297746a48487eb4da50750b28e75cec5.txt
85,234,3.042e-05,C:\Root\nimue\data\email\ingest-processed\29b10cfd217088589ed33efd9b224f66.txt
86,1632,0.00021216,C:\Root\nimue\data\email\ingest-processed\29e310e752ff2110951247ac490a140b.txt
87,767,9.971e-05,C:\Root\nimue\data\email\ingest-processed\2a359ebd8e66316fce93cfae70791fdf.txt
88,631,8.203e-05,C:\Root\nimue\data\email\ingest-processed\2b19ff0eed52873f365b3539070a9dfc.txt
89,73,9.49e-06,C:\Root\nimue\data\email\ingest-processed\2b439b6d26f56b16590a177a429bc913.txt
90,111,1.4429999999999999e-05,C:\Root\nimue\data\email\ingest-processed\2b65ad585b46d7330156eb556f44e39e.txt
91,977,0.00012701,C:\Root\nimue\data\email\ingest-processed\2b7db3a48e1ce6c7912102f679cf8deb.txt
92,168,2.184e-05,C:\Root\nimue\data\email\ingest-processed\2d978d56200de4e7e0d8829db631a056.txt
93,203,2.639e-05,C:\Root\nimue\data\email\ingest-processed\2e4a7bb3438e5b812832431621dbed78.txt
94,613,7.969e-05,C:\Root\nimue\data\email\ingest-processed\2e9234ab714123647e8179756da0fe01.txt
95,234,3.042e-05,C:\Root\nimue\data\email\ingest-processed\2ee690de5f03d7582620314d53252779.txt
96,203,2.639e-05,C:\Root\nimue\data\email\ingest-processed\2fa64ee2e81e20eab6a78d2e68d38ed1.txt
97,780,0.00010140000000000001,C:\Root\nimue\data\email\ingest-processed\30160718d418406ab19e7a93250214ae.txt
98,814,0.00010582000000000001,C:\Root\nimue\data\email\ingest-processed\302b5749008e526823018768f739d7d6.txt
99,431,5.6030000000000004e-05,C:\Root\nimue\data\email\ingest-processed\308ac434990933d461fa552a0392fae2.txt
100,299,3.8870000000000006e-05,C:\Root\nimue\data\email\ingest-processed\30b38eae9726a998fa9719f6064c0ccc.txt
